Wall time,Step,Value
1720318569.652986,5,0.0011525556910783052
1720318695.7750518,6,0.0010097455233335495
1720319199.0693808,10,0.0007132355822250247
1720319324.5480213,11,0.0005674217827618122
1720319576.185122,13,0.0006007814081385732
1720319701.9596174,14,0.00035295591806061566
1720319828.0876825,15,0.0003350013867020607
1720320206.4157975,18,0.0004526751581579447
1720320332.5061607,19,0.0002432876208331436
1720320458.3705766,20,0.00027400662656873465
1720320964.3508265,24,0.00038555695209652185
1720322101.679395,33,0.00013546267291530967
1720322228.2487738,34,0.00015045622421894222
1720322480.5542495,36,0.00022406161588151008
1720322989.7157822,40,0.0002086633030558005
1720323242.4526978,42,0.00010129131260327995
1720323495.1734545,44,0.0001720734580885619
1720323622.378466,45,0.00017020225641317666
1720323871.061368,47,0.00011105486191809177
1720324117.502848,49,0.00012260169023647904
1720324239.9070077,50,0.00010422477498650551
1720324608.5948553,53,0.00011225021444261074
1720324730.464987,54,7.722986629232764e-05
1720324851.7024877,55,7.210602052509785e-05
1720324972.6800797,56,9.912589302984998e-05
1720325090.9055598,57,0.00013656714872922748
1720325444.6827135,60,0.0001589251623954624
1720325565.941923,61,0.00011312532296869904
1720325809.1733744,63,0.00014688812370877713
1720326051.8013155,65,0.00010394038690719754
1720326172.403101,66,6.425853644032031e-05
1720326293.0616825,67,6.607786053791642e-05
1720326414.2986026,68,6.562301859958097e-05
1720326779.1184268,71,8.539955160813406e-05
1720326904.5114245,72,0.00010726509208325297
1720327029.9709704,73,8.173062815330923e-05
1720327155.54601,74,7.445896335411817e-05
1720327783.0737653,79,7.179275417001918e-05
1720328411.3681946,84,7.302161247935146e-05
1720328537.0338988,85,9.286396380048245e-05
1720328662.2611697,86,7.062046643113717e-05
1720328787.3268688,87,0.0001503863895777613
1720328913.4937377,88,0.00011477743100840598
1720329038.9155343,89,9.173314902000129e-05
1720329667.3529577,94,4.726145925815217e-05
1720330676.522947,102,5.832496390212327e-05
1720331056.2661953,105,4.89227932121139e-05
1720331189.3873546,106,7.149906014092267e-05
1720332090.6740515,113,5.362562296795659e-05
1720332474.1233485,116,5.8890491345664486e-05
1720332729.4019423,118,5.303549551172182e-05
1720332857.8304663,119,7.272413495229557e-05
1720332984.6478124,120,6.440600554924458e-05
1720333483.819088,124,4.5620599848916754e-05
1720333603.5705047,125,4.1346389480168e-05
1720333723.0929503,126,4.157183502684347e-05
1720334082.478998,129,4.0671395254321396e-05
1720334209.6153567,130,2.792412487906404e-05
1720335091.8672457,137,5.8613455621525645e-05
1720335343.9845304,139,3.1700386898592114e-05
1720335595.6274652,141,8.010076271602884e-05
1720335720.2431898,142,4.384128988021985e-05
1720335845.9546716,143,3.72604736185167e-05
1720335971.405504,144,3.8747573853470385e-05
1720336472.399625,148,3.6226658266969025e-05
1720336721.0959332,150,3.3343058021273464e-05
1720337094.3274672,153,4.5755234168609604e-05
1720337218.7598083,154,5.232250623521395e-05
1720337343.6139488,155,8.42428271425888e-05
1720337593.8263152,157,3.25913424603641e-05
1720337719.2790885,158,2.7807269361801445e-05
1720337844.396888,159,3.7125682865735143e-05
1720338219.289164,162,2.4650968043715693e-05
1720338469.5684988,164,3.4437896829331294e-05
1720338594.137662,165,5.147017873241566e-05
1720338842.248224,167,3.999644104624167e-05
1720338965.2524085,168,4.136185452807695e-05
1720339333.6244874,171,3.070284583372995e-05
1720339942.4936044,176,2.5510560590191744e-05
1720340064.664517,177,1.9324475942994468e-05
1720340185.828755,178,2.823658360284753e-05
1720340430.4350164,180,2.0428566131158732e-05
1720340789.0143921,183,2.056786252069287e-05
1720341026.0292242,185,2.5735231247381307e-05
1720341144.8136082,186,2.7944823159486987e-05
1720341382.8759134,188,3.343855496495962e-05
1720341621.36138,190,1.969931872736197e-05
1720341739.5093553,191,2.2690055629936978e-05
1720342582.6423488,198,2.8944117730134167e-05
1720343562.3947875,206,2.6364139557699673e-05
1720343681.6576197,207,1.702392728475388e-05
1720343794.3330095,208,2.3663282263441943e-05
1720344270.7933302,212,6.92743924446404e-05
1720344627.8573134,215,1.7963813661481254e-05
1720344985.098988,218,2.519564986869227e-05
1720345102.3806825,219,2.0690238670795225e-05
1720345455.7397656,222,2.714177389862016e-05
1720345574.1390502,223,2.8933771318406798e-05
1720345811.7048824,225,2.46494837483624e-05
1720345930.071014,226,3.2694741094019264e-05
1720346048.9947753,227,6.255400512600318e-05
1720346288.0166533,229,1.740547304507345e-05
1720346642.6158876,232,1.734759825922083e-05
1720346768.60037,233,2.0396035324665718e-05
1720346894.7852802,234,3.210397335351445e-05
1720347273.4698324,237,1.9983224774478003e-05
1720347653.8146381,240,2.5156257834169082e-05
1720348288.1718817,245,4.4148400775156915e-05
1720348540.6184106,247,2.296093589393422e-05
1720348793.3022838,249,1.916214569064323e-05
1720348919.8300033,250,1.3925792700320017e-05
1720349554.704413,255,1.9823974071186967e-05
1720349936.148799,258,2.590088297438342e-05
1720350060.5255523,259,3.853105954476632e-05
1720350186.3460147,260,2.3978545868885703e-05
1720350313.7339766,261,3.67459469998721e-05
1720350552.3973765,263,5.276680531096645e-05
1720351027.3485837,267,1.9971410438301973e-05
1720351281.9352753,269,1.5080711818882264e-05
1720351535.774583,271,3.4452907129889354e-05
1720351789.9285343,273,3.5661261790664867e-05
1720352434.2223647,278,1.9244755094405264e-05
1720352676.1398404,280,2.9600159905385226e-05
1720353152.4948997,284,2.208614932897035e-05
1720353739.7550814,289,1.7493775885668583e-05
1720353992.2049515,291,1.940253787324764e-05
1720354117.5362425,292,3.810213092947379e-05
1720354744.76213,297,1.5558141967630945e-05
1720354872.7104573,298,2.3960001271916553e-05
1720354996.450346,299,3.081527029280551e-05
1720355247.206667,301,1.146942850027699e-05
1720355374.1110182,302,1.4096480299485847e-05
1720355497.712832,303,1.0554051186772995e-05
1720355997.8943253,307,2.583269997558091e-05
1720356122.6196764,308,1.6140027582878247e-05
1720356370.2457635,310,2.3580490960739553e-05
1720356742.0707679,313,1.371751568512991e-05
1720357241.479849,317,2.0609037164831534e-05
1720357367.2172008,318,4.8150897782761604e-05
1720357491.86733,319,3.158457184326835e-05
1720357615.5346732,320,1.2620107554539572e-05
1720357867.7069442,322,1.2434838936314918e-05
1720358239.3498087,325,2.8638589355978183e-05
1720358364.097731,326,2.6356960006523877e-05
1720358492.0619993,327,1.9329851056681946e-05
1720358873.6551664,330,1.2803781828552019e-05
1720359001.827998,331,1.955437801370863e-05
1720359256.0091474,333,3.400584319024347e-05
1720360026.495025,339,1.1484885362733621e-05
1720360280.5699205,341,1.4653767721028998e-05
1720360662.0717044,344,1.1799566891568247e-05
1720360790.5777686,345,1.2257953130756505e-05
1720361045.2184734,347,2.9338569220271893e-05
1720361173.2768025,348,1.1915029062947724e-05
1720361809.117707,353,1.7153013686765917e-05
1720361935.2707777,354,1.6397116269217804e-05
1720362190.347812,356,3.447716881055385e-05
1720362445.5132267,358,1.6751608200138435e-05
1720362573.1486595,359,1.3606215361505747e-05
1720362700.8535922,360,1.8083726899931207e-05
1720363081.7862906,363,4.661181810661219e-05
1720363208.9947739,364,1.5911688024061732e-05
1720363589.36246,367,9.888846761896275e-06
1720363716.186844,368,9.346876140625682e-06
1720363972.2586465,370,1.4904345334798563e-05
1720364101.2071378,371,1.647811041038949e-05
1720364363.5544896,373,1.8668375560082495e-05
1720364898.6515286,377,1.2226106264279224e-05
1720365033.6261315,378,1.881690877780784e-05
1720365168.5408177,379,1.7184895114041865e-05
1720365431.5650911,381,1.0608402590150945e-05
1720365564.3423796,382,1.4017201465321705e-05
1720366081.1975224,386,2.5519071641610935e-05
1720366205.1023662,387,1.532889473310206e-05
1720366329.9736443,388,1.0758283679024316e-05
1720366579.1321323,390,2.1653135263477452e-05
1720366703.1059937,391,1.2018705092486925e-05
1720366827.5539756,392,1.1328883374517318e-05
1720366951.9318004,393,1.0909459888353013e-05
1720368108.5752487,402,8.131944014166947e-06
1720368239.1423452,403,4.28641214966774e-05
1720368887.5023906,408,1.2816430171369575e-05
1720369793.676967,415,1.323781816608971e-05
1720369921.5029087,416,1.2736686585412826e-05
1720370438.0510406,420,1.1533789802342653e-05
1720370568.0841544,421,1.0901981113420334e-05
1720370698.1510866,422,1.7515963918413036e-05
1720370956.4486687,424,1.0835928151209373e-05
1720371215.3888428,426,2.4285562176373787e-05
1720371735.9838161,430,1.0399870916444343e-05
1720372894.4138818,439,9.02977080841083e-06
1720373019.6441643,440,2.519619738450274e-05
1720373147.1282601,441,1.6682530258549377e-05
1720373274.6081247,442,1.0638145795383025e-05
1720373659.4196103,445,8.974684533313848e-06
1720374044.216837,448,8.842289389576763e-06
1720374440.4460151,451,1.1802526387327816e-05
1720375374.587542,458,8.282257113023661e-06
1720375506.0606482,459,1.1432445717218798e-05
1720375640.0100646,460,2.2512609575642273e-05
1720375775.4257877,461,3.599864794523455e-05
1720376041.5462668,463,9.124400094151497e-06
1720376175.2617395,464,1.365535626973724e-05
1720376576.7364824,467,8.239302587753627e-06
1720376713.5457497,468,8.723308383196127e-06
1720376852.619253,469,9.61902151175309e-06
1720377123.1054623,471,9.99851636152016e-06
1720377389.0372112,473,3.2701093005016446e-05
1720377523.0458302,474,1.061630518961465e-05
1720378051.0333283,478,1.2266244084457867e-05
1720378941.6358676,485,1.3937918083684053e-05
1720379324.3741148,488,2.9817132599418983e-05
1720379450.0590308,489,2.8177830245113e-05
1720379704.1071072,491,5.543774477700936e-06
1720379958.837704,493,9.884216524369549e-06
1720380340.4922488,496,9.736678293847945e-06
1720381739.7997112,507,6.71795987727819e-06
1720382118.3762178,510,2.1043382730567828e-05
1720382245.3204963,511,6.0695574575220235e-06
1720382372.1362512,512,5.912358574278187e-06
1720382633.3712401,514,9.028501153807156e-06
1720382899.640065,516,7.231129075080389e-06
1720383033.5041347,517,7.374599135800963e-06
1720383301.3485668,519,1.7548081814311445e-05
1720383967.537306,524,1.3613403098133858e-05
1720384101.9538484,525,2.6433377570356242e-05
1720384897.5109224,531,6.8735048444068525e-06
1720385151.479361,533,7.6280066423350945e-06
1720385277.1964738,534,9.938465154846199e-06
1720385401.8139088,535,1.3175386811781209e-05
1720385530.3228319,536,2.3046814021654427e-05
1720385656.6581059,537,1.3573818250733893e-05
1720385785.4978468,538,9.855308235273696e-06
1720385910.8307135,539,7.754634680168238e-06
1720386038.292694,540,9.725899872137234e-06
1720386165.084587,541,9.893069545796607e-06
1720386292.0527833,542,2.2942722353036515e-05
1720386545.7850893,544,1.1722425369953271e-05
1720386923.8522768,547,6.539315108966548e-06
1720387051.2539973,548,1.0158432814932894e-05
1720387178.970172,549,2.382160528213717e-05
1720387430.7983282,551,7.880176781327464e-06
1720387936.8950362,555,1.3659399883181322e-05
1720388189.5061576,557,7.928763807285577e-06
1720388440.8166025,559,7.430628102156334e-06
1720388949.5135322,563,6.103200121287955e-06
1720389083.0028188,564,1.3698010661755688e-05
1720389216.4036117,565,8.305128176289145e-06
1720389477.2954965,567,1.5415900634252466e-05
1720389731.3432693,569,9.97855113382684e-06
1720389985.7239234,571,1.7257068975595757e-05
1720390237.3106256,573,8.27541862236103e-06
1720390363.721814,574,7.725724572082981e-06
1720390748.1404123,577,9.11283405002905e-06
1720391015.7675617,579,1.0061871762445662e-05
1720391145.4268658,580,1.4868400285195094e-05
1720391277.7713943,581,9.465186849411111e-06
1720391408.1423593,582,6.573905557161197e-05
1720391539.9139638,583,1.0596870197332464e-05
1720391672.852148,584,6.081847914174432e-06
1720391932.3284812,586,5.09810615767492e-06
1720392064.626303,587,7.4858098741970025e-06
1720392716.6543117,592,8.942995009419974e-06
